epoch,step,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,0,,0.125,,2.3077797889709473,,
0,1,,0.25,,2.284060001373291,,
0,2,,0.0,,2.371574640274048,,
0,2,,,,,0.0,2.342465877532959
0,2,0.15000000596046448,,2.3110508918762207,,,
1,3,,0.78125,,1.960810899734497,,
1,4,,0.84375,,1.9602248668670654,,
1,5,,0.875,,1.9099981784820557,,
1,5,,,,,0.05000000074505806,2.3312153816223145
1,5,0.824999988079071,,1.9504139423370361,,,
2,6,,1.0,,1.7558869123458862,,
2,7,,1.0,,1.6654199361801147,,
2,8,,1.0,,1.6444131135940552,,
2,8,,,,,0.15000000596046448,2.3206329345703125
2,8,1.0,,1.697405457496643,,,
3,9,,1.0,,1.5110857486724854,,
3,10,,1.0,,1.4379174709320068,,
3,11,,1.0,,1.4628305435180664,,
3,11,,,,,0.15000000596046448,2.3113110065460205
3,11,1.0,,1.4721673727035522,,,
4,12,,1.0,,1.2697460651397705,,
4,13,,1.0,,1.238698959350586,,
4,14,,1.0,,1.2845938205718994,,
4,14,,,,,0.15000000596046448,2.3039793968200684
4,14,1.0,,1.2602968215942383,,,
